ln(640) = 6.44385, error = 0.00273448
ln(641) = 6.4458, error = 0.00267284
ln(642) = 6.44775, error = 0.00261087
ln(643) = 6.44922, error = 0.00262447
ln(644) = 6.45117, error = 0.00256181
ln(645) = 6.45312, error = 0.00249882
ln(646) = 6.45508, error = 0.0024355
ln(647) = 6.45703, error = 0.00237184
ln(648) = 6.45703, error = 0.00261103
ln(649) = 6.45898, error = 0.00254661
ln(650) = 6.46094, error = 0.00248185
ln(651) = 6.46289, error = 0.00241669
ln(652) = 6.46484, error = 0.00235127
ln(653) = 6.4668, error = 0.00228553
ln(654) = 6.46875, error = 0.00221953
ln(655) = 6.4707, error = 0.00215312
ln(656) = 6.4707, error = 0.00238886
ln(657) = 6.47266, error = 0.00232177
ln(658) = 6.47266, error = 0.0025567
ln(659) = 6.47461, error = 0.00248884
ln(660) = 6.47656, error = 0.00242064
ln(661) = 6.47852, error = 0.00235213
ln(662) = 6.47852, error = 0.00258545
ln(663) = 6.47852, error = 0.00281847
ln(664) = 6.47852, error = 0.00305106
ln(665) = 6.47852, error = 0.00328335
ln(666) = 6.47852, error = 0.00351535
ln(667) = 6.47852, error = 0.0037469
